year,state_population,murder,robbery,agg_assault,burglary,larceny,vehicle_theft,rape,murder_cutting,murder_firearms,murder_other,murder_unarmed,mass_shootings,hate_crime_murder,hate_crime_other,state,total
2002,4478896,303,5962,12002,42578,123932,13890,1664,,,,,0,0,2,Alabama,200333
2002,641482,33,489,2594,3908,17739,2471,511,,,,,0,0,7,Alaska,27752
2002,5441125,387,8000,20176,59087,201541,57668,1608,,,,,1,1,240,Arizona,348709
2002,2706268,142,2524,8081,23229,71129,6813,754,,,,,0,1,87,Arkansas,112760
2002,35001986,2395,64968,130827,238428,715692,222364,10198,,,,,0,3,1645,California,1386520
2002,4501051,179,3579,10058,31678,125193,23183,2066,,,,,0,0,96,Colorado,196032
2002,3458587,84,4069,5914,17111,64735,11580,740,,,,,0,0,140,Connecticut,104373
2002,805945,26,1154,3298,5355,18555,3057,358,,,,,0,0,13,Delaware,31816
2002,16691701,911,32581,88476,177242,511478,88516,6753,,,,,0,1,256,Florida,906214
2002,8544005,606,13432,23125,73932,234591,38036,2108,,,,,0,0,31,Georgia,385861
2002,1240663,24,1210,1656,12722,49344,9910,372,,,,,0,,,Hawaii,75238
2002,1343124,36,240,2646,7441,29060,2627,497,,,,,0,0,43,Idaho,42590
2002,12586447,961,25314,45114,81440,304227,44812,4370,,,,,0,0,158,Illinois,506396
2002,6156913,362,6612,13184,42605,146073,20287,1843,,,,,0,0,78,Indiana,231044
2002,2935840,44,1169,6378,18643,68411,5823,797,,,,,0,0,47,Iowa,101312
2002,2711769,78,2165,6951,19679,73877,7212,1035,,,,,0,0,56,Kansas,111053
2002,4089822,191,3131,6692,26891,72378,9321,1087,,,,,0,0,79,Kentucky,119770
2002,4476192,593,7123,20445,45350,133302,20186,1529,,,,,0,0,15,Louisiana,228543
2002,1294894,14,270,735,6965,24591,1429,377,,,,,0,0,36,Maine,34417
2002,5450525,513,13417,26715,39765,143320,34020,1370,,,,,0,0,217,Maryland,259337
2002,6421800,173,7169,22018,33243,107922,26588,1777,,,,,0,0,427,Massachusetts,199317
2002,10043221,678,11847,36417,70970,214367,49723,5364,,,,,0,0,421,Michigan,389787
2002,5024791,112,3937,7106,28034,122150,13842,2273,,,,,0,1,202,Minnesota,177657
2002,2866733,264,3356,5111,29593,70468,9523,1127,,,,,0,0,3,Mississippi,119445
2002,5669544,331,7024,21737,42721,159921,27878,1465,,,,,0,1,64,Missouri,261142
2002,910372,16,283,2661,3289,23679,1783,237,,,,,0,0,13,Montana,31961
2002,1727564,48,1359,3557,10329,51440,6409,464,,,,,0,0,56,Nebraska,73662
2002,2167455,181,5118,7629,18951,47459,17486,928,,,,,0,0,62,Nevada,97814
2002,1274405,12,413,1185,4838,19468,1944,446,,,,,0,0,30,New Hampshire,28336
2002,8575252,339,13955,16593,43899,148061,35755,1365,,,,,0,0,570,New Jersey,260537
2002,1852044,152,2206,10334,19634,53406,7437,1027,,,,,0,0,15,New Mexico,94211
